country,ceo,cfo,other,company,sector,action,no_action,website,twitter,twitter_handle,details
US,Michael K. (Mike) Wirth,Eimear P. Bonner,-,Chevron Corporation,ENERGY SECTOR,False,True,https://www.chevron.com,https://twitter.com/Chevron,Chevron,"Country: US,CEO: Michael K. (Mike) Wirth ,CFO: Eimear P. Bonner,Website,Twitter"
UK,Mario Mehren,Paul Smith,-,Wintershall,ENERGY SECTOR,False,True,https://wintershalldea.com/en,https://twitter.com/wintershalldea,wintershalldea,"Country: UK,CEO: Mario Mehren ,CFO: Paul Smith ,Website,Twitter"
Germany,Stefan Hartung,Markus Forschner,-,Robert Bosch GmbH,ENERGY SECTOR,False,True,https://www.bosch.com/contact/,https://twitter.com/BoschGlobal,BoschGlobal,"Country: Germany,CEO: Stefan Hartung,CFO: Markus Forschner ,Website,Twitter"
Netherlands,Olivier Le Peuch,Stephane Biguet,-,Schlumberger,ENERGY SECTOR,True,False,https://www.slb.com,,,"Country: Netherlands,CEO: Olivier Le Peuch ,CFO: Stephane Biguet ,Website"
Germany,Leonhard Birnbaum,Marc Spieker,-,E.ON,ENERGY SECTOR,True,False,https://www.eon.com/en.html,https://twitter.com/EON_SE_en,EON_SE_en,"Country: Germany,CEO: Leonhard Birnbaum,CFO: Marc Spieker,Website,Twitter"
US,Jeff Miller,Lance Leoffler,-,Halliburton,ENERGY SECTOR,True,False,https://www.halliburton.com,https://twitter.com/Halliburton,Halliburton,"Country: US,CEO: Jeff Miller,CFO: Lance Leoffler,Website,Twitter"
Germany,Klaus-Dieter Maubach,Tiina Tuomela,-,Uniper,ENERGY SECTOR,True,False,https://www.bosch.com/contact/,https://twitter.com/uniper_energy,uniper_energy,"Country: Germany,CEO: Klaus-Dieter Maubach,CFO: Tiina Tuomela,Website,Twitter"
US,Darren Woods,Kathryn A. Mikells,-,ExxonMobil,ENERGY SECTOR,True,False,https://corporate.exxonmobil.com,https://twitter.com/exxonmobil,exxonmobil,"Country: US,CEO: Darren Woods ,CFO: Kathryn A. Mikells,Website,Twitter"
UK,Ben van Beurden,Jessica Uhl,-,Shell,ENERGY SECTOR,True,False,https://www.shell.com,https://twitter.com/shell,shell,"Country: UK,CEO: Ben van Beurden ,CFO: Jessica Uhl,Website,Twitter"
UK,Bernard Looney,Murray Auchincloss,-,BP,ENERGY SECTOR,True,False,https://www.bp.com,https://twitter.com/bp_plc,bp_plc,"Country: UK,CEO: Bernard Looney ,CFO: Murray Auchincloss ,Website,Twitter"
Austria,Alfred Stern,Reinhard Florey,-,OMV,ENERGY SECTOR,True,False,https://www.omv.com/en,https://twitter.com/omv,omv,"Country: Austria,CEO: Alfred Stern,CFO: Reinhard Florey,Website,Twitter"
Netherlands,Han Fennema,Janneke Hermes,-,Gasunie,ENERGY SECTOR,True,False,https://www.gasunie.nl/en,https://twitter.com/gasunie?lang=en,gasunie,"Country: Netherlands,CEO: Han Fennema,CFO: Janneke Hermes,Website,Twitter"
Finland,Markus Rauramo,Bernhard Günther,-,Fortum,ENERGY SECTOR,True,False,https://www.fortum.com,https://twitter.com/fortum?lang=en,fortum,"Country: Finland,CEO: Markus Rauramo,CFO: Bernhard Günther,Website,Twitter"
France,Catherine MacGregor,Pierre-François Riolacci,-,Engie,ENERGY SECTOR,False,True,https://www.engie.com/en,https://twitter.com/engiegroup,engiegroup,"Country: France,CEO: Catherine MacGregor,CFO: Pierre-François Riolacci,Website,Twitter"
Italy,Claudio Descalzi,Francesco Gattei,-,Eni,ENERGY SECTOR,True,False,https://www.eni.com/en-IT/home.html,https://twitter.com/eni,eni,"Country: Italy,CEO: Claudio Descalzi,CFO: Francesco Gattei,Website,Twitter"
US,Lorenzo Simonelli,Brian Worrell,-,Baker Hughes,ENERGY SECTOR,True,False,https://www.bakerhughes.com,https://twitter.com/bakerhughesco,bakerhughesco,"Country: US,CEO: Lorenzo Simonelli,CFO: Brian Worrell,Website,Twitter"
Germany,Thomas Böck,Henner Böttcher,-,Claas,MACHINERY and MANUFACTURING SECTOR,False,True,https://www.claas-group.com,https://twitter.com/claas_america,claas_america,"Country: Germany,CEO: Thomas Böck ,CFO: Henner Böttcher ,Website,Twitter"
USA/Italy,Carlo Lambro,,-,New Holland Agriculture,MACHINERY and MANUFACTURING SECTOR,False,True,https://agriculture.newholland.com/eu/en-uk,https://twitter.com/newhollandag,newhollandag,"Country: USA/Italy,CEO: Carlo Lambro ,Website,Twitter"
US,Tom Linebarger,Mark Smith,-,Cummins,MACHINERY and MANUFACTURING SECTOR,False,True,https://www.cummins.com,https://twitter.com/cummins?lang=en,cummins,"Country: US,CEO: Tom Linebarger ,CFO: Mark Smith ,Website,Twitter"
South Africa,Dominic Malentsha Sewela,Nopasika Vuyelwa Lila,-,Barloworld,MACHINERY and MANUFACTURING SECTOR,False,True,https://www.barloworld.com,https://twitter.com/barloworldltd,barloworldltd,"Country: South Africa,CEO: Dominic Malentsha Sewela ,CFO: Nopasika Vuyelwa Lila ,Website,Twitter"
US,Jim Umpleby,Andrew R.J Bonfield,-,Caterpillar Inc.,MACHINERY and MANUFACTURING SECTOR,True,False,https://www.caterpillar.com,https://twitter.com/CaterpillarInc?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,CaterpillarInc,"Country: US,CEO: Jim Umpleby ,CFO: Andrew R.J Bonfield ,Website,Twitter"
US,John C. May,Ryan D. Campbell,-,John Deere,MACHINERY and MANUFACTURING SECTOR,True,False,https://www.deere.com/en/,https://twitter.com/johndeere,johndeere,"Country: US,CEO: John C. May,CFO: Ryan D. Campbell,Website,Twitter"
